sex,time,terms,Eat well Drink well,Sometimes eat Sometimes drink,Hardly eat or drink,Not eating or drinking at all,Other
man,After midnight,fruit,9,39,27,16,2
man,No set bedtime.,fruit,19,48,53,20,6
man,Other,fruit,4,8,7,6,91
woman,Before 9:00 p.m.,"Rice, bread, noodles",61,66,60,173,3
woman,9:00 p.m.-9:29 p.m.,"Rice, bread, noodles",211,331,387,606,23
woman,9:30 p.m. to 9:59 p.m.,"Rice, bread, noodles",358,540,565,777,26
woman,10:00 p.m. to 10:29 p.m.,"Rice, bread, noodles",486,771,699,933,39
woman,10:30 p.m. to 10:59 p.m.,"Rice, bread, noodles",329,520,423,520,23
woman,11:00 p.m.-11:29 p.m.,"Rice, bread, noodles",232,297,227,258,10
woman,11:30 p.m. to 11:59 p.m.,"Rice, bread, noodles",104,103,80,94,4
woman,After midnight,"Rice, bread, noodles",38,51,37,51,3
woman,No set bedtime.,"Rice, bread, noodles",55,65,46,62,2
woman,Other,"Rice, bread, noodles",12,8,5,9,77
man,Before 9:00 p.m.,"Rice, bread, noodles",77,112,85,174,1
man,9:00 p.m.-9:29 p.m.,"Rice, bread, noodles",387,542,504,607,29
man,9:30 p.m. to 9:59 p.m.,"Rice, bread, noodles",486,832,667,724,22
man,10:00 p.m. to 10:29 p.m.,"Rice, bread, noodles",631,970,676,728,34
man,10:30 p.m. to 10:59 p.m.,"Rice, bread, noodles",372,533,399,361,14
man,11:00 p.m.-11:29 p.m.,"Rice, bread, noodles",246,268,161,145,8
man,11:30 p.m. to 11:59 p.m.,"Rice, bread, noodles",82,86,44,54,2
man,After midnight,"Rice, bread, noodles",28,37,12,15,1
man,No set bedtime.,"Rice, bread, noodles",35,48,27,30,6
man,Other,"Rice, bread, noodles",7,7,8,3,91
man,Before 9:00 p.m.,sweets,174,187,54,33,1
man,9:00 p.m.-9:29 p.m.,sweets,849,903,233,65,19
man,9:30 p.m. to 9:59 p.m.,sweets,1191,1180,260,83,17
man,10:00 p.m. to 10:29 p.m.,sweets,1422,1240,280,72,25
man,10:30 p.m. to 10:59 p.m.,sweets,773,698,159,37,12
man,11:00 p.m.-11:29 p.m.,sweets,390,332,77,25,4
man,11:30 p.m. to 11:59 p.m.,sweets,144,80,32,10,2
man,After midnight,sweets,45,39,5,2,2
man,No set bedtime.,sweets,50,71,15,6,4
man,Other,sweets,15,8,3,0,90
woman,Before 9:00 p.m.,sweets,171,143,34,14,1
woman,9:00 p.m.-9:29 p.m.,sweets,762,597,133,52,14
woman,9:30 p.m. to 9:59 p.m.,sweets,1159,882,158,52,15
woman,10:00 p.m. to 10:29 p.m.,sweets,1560,1058,223,65,22
woman,10:30 p.m. to 10:59 p.m.,sweets,990,656,123,33,13
woman,11:00 p.m.-11:29 p.m.,sweets,540,382,67,26,9
woman,11:30 p.m. to 11:59 p.m.,sweets,195,153,28,7,2
woman,After midnight,sweets,88,65,19,5,3
woman,No set bedtime.,sweets,122,88,14,5,1
woman,Other,sweets,22,11,1,1,76
